userName,content,score
andusty nduy,"Banyak ulasan jelek harusnya benerin sistem anjg, orang lagi urgent jadi kehambat gara² aplikasilu sering close sendiri, bgst lah",1
Rama Donal,Ok,5
tri utomo nirwana yudha,Toplah👍🏻👍🏻👍🏻👍🏻👍🏻,5
Luthfan Fakhrurrozi,user android 7.1 ngga bisa pake ya min?,1
lihat video,Akhir akhir ini aplikasi sering keluar sendiri ketika sudah login...bagaimana mau dipakai kalau seperti ini..,3
Sariez Game,Ok,5
Gunawan Halim,Bagus,5
San Susan,Bgs cpt proses nya,5
Dudy Iskandar,Fiturnya sgt membantu,5
ari priambodo,Aplikasi tidak bisa di buka...,1
Diva Yodana,"Update kok nggak lebih baik,malah sering keluar sendiri.maaf bintang 2",2
Supry Anto,😏😎,4
MUHADI,Saat pembaruan makin jelek apk nya Tolong diperbaiki lagi,1
Doel Aja,Sangat membantu,5
Faza Humaira,"Mudah digunakan, semoga bisa lebih meningkatkan pelayanannya lagi",4
Tri Murdianto,Aplikasi keluar sendiri terus kyak apa mw pelanggan puas...,2
Ecko Eko,"sudah berubah drastis ya sekarang bisa buat shophe pay jg, jempol 👍 buat perubahannya",5
Eny Widyastuti,Oke bangt banking niaga,5
Arrr Iip,nyesel,1
Endang Supriatna,Baguss,5
Seneng Klintung,Kenapa sekarang susah login susah susah susah haduh,5
Iyus Saleh,Ok,5
gas sticker official,okk,5
Ressa Rianti,Ga bisa login padahal lebih praktis lewat sini,1
ruday day,Masih kurang,3
Nove Riston,Baru aja mau login langsung keluar sendiri apk nya.. Aneh bgt sering bgt kayk gini,1
Dedik Herry Susetyo,Menjadi lebih mudah dalam melunasi tagihan,5
Rina Yuliana,"Udh lama gkbisa dibuka aplikasinya, ngebug trus, di update trus malah jd makin gkbisa login",1
Ramadhan Arieshandy,Mantap,5
Mughni J,"terimakasih. good jobs, awesome. good luck",5
Mr. Michael,Good app,5
Erwan Herliana,Kenapa octo mobile sekarang jadi ga bisa dibuka....apa mau bangkrut atw gimana?,1
Token crypto,Bgst kartu ga dateng dateng. Kurir gblk,1
naura giod,Good,5
Anim D'jhancok,Hp saya android 9 tapi GK bisa di hp saya kenapa ini,1
Bala Alas,Terima kasih,5
Caesar Anggara Adhiputra (Angga / Sarmin),"Sebenarnya sudah berusaha sabar dengan aplikasi Octo yg terupdate. Tapi kok tetap tidak ada perbaikan, sering force closed tidak bisa login. Android 13 bermasalah pakai aplikasi Octo. Entah ada masalah dari sisi server, tapi banyak pengguna mengeluhkan hal yang sama.",1
Az Ka,mantap,5
haris tarsan,"Mau download nggak jadi, byk yg komen kurang bagus....",2
Budi Yanto,"Tidak bisa login, ngebug, force close, payah..",1
Bobby Jhohan setiawan,Sangat bermanfaat dan membantu,5
Amman Sutanto,Good aplikation,5
As Rizal00,Okey bagus,5
Dhans scorpio,"Ga guna, hilangin aja udah lah",1
Alex Rojik,Goog,5
Radi Liar,Tank yau,1
Tinoz Rebeel,"Akun saya terblokir,caranya harus menelepon operator untuk membukanya,yang saya sesalkan biaya telepon operator itu sangat mahal,dan terlalu ribet sehingga gak keburu,keburu habis pulsanya,coba apakah ga ada cara yang lebih praktis untuk membuka akun octo yang terblokir??",1
